date,positive_percent
2022-05-20,90.0
2022-05-21,90.5
2022-05-22,66.7
2022-05-23,90.3
2022-05-24,97.7
2022-05-25,93.0
2022-05-26,94.4
2022-05-27,95.5
2022-05-28,93.3
2022-05-29,92.3
2022-05-30,83.3
2022-05-31,82.9
2022-06-01,93.9
2022-06-02,91.2
2022-06-03,90.6
2022-06-04,100.0
2022-06-05,100.0
2022-06-06,80.5
2022-06-07,96.3
2022-06-08,91.5
2022-06-09,86.5
2022-06-10,100.0
2022-06-11,92.6
2022-06-12,50.0
2022-06-13,95.2
2022-06-14,87.0
2022-06-15,85.0
2022-06-16,83.0
2022-06-17,95.1
2022-06-18,100.0
2022-06-19,100.0
2022-06-20,91.2
2022-06-21,98.0
