2021-01-16	3	6	58, 61, 67	42, 61, 66, 83, 84, 87
2021-01-17	3	4	64, 64, 70	62, 73, 76, 84
2021-01-18	3	5	60, 65, 81	25, 62, 64, 84, 89
2021-01-19	1	7	52	63, 64, 69, 72, 79, 81, 82
2021-01-20	2	4	62, 69	73, 75, 83, 87
2021-01-21	4	6	58, 64, 74, 81	47, 54, 59, 62, 67, 78
2021-01-22	4	4	62, 66, 68, 84	55, 67, 70, 83
2021-01-23	4	3	55, 60, 68, 84	66, 79, 83
2021-01-24	9	1	36, 66, 71, 73, 73, 77, 80, 83, 92	73
2021-01-25	5	3	55, 59, 60, 70, 71	72, 81, 86
2021-01-26	2	8	59, 62	36, 57, 70, 75, 79, 81, 82, 85
2021-01-27	4	4	63, 66, 75, 91	72, 82, 83, 90
2021-01-28	9	1	55, 63, 64, 65, 65, 73, 81, 82, 83	70
2021-01-29	1	7	71	55, 58, 67, 73, 74, 80, 92
2021-01-30	3	4	57, 69, 69	42, 65, 70, 84
2021-01-31	5	4	63, 65, 66, 70, 77	58, 77, 80, 84
2021-02-01	4	4	63, 63, 65, 87	56, 57, 80, 82
2021-02-02	2	8	50, 69	54, 61, 62, 63, 73, 75, 81, 83
2021-02-03	3	4	42, 71, 82	35, 61, 67, 84
2021-02-04	6	4	48, 55, 65, 68, 74, 88	50, 82, 89, 94
2021-02-05	2	2	87, 69	60, 70
2021-02-06	1	2	60	70, 73
2021-02-07	4	3	50, 60, 68, 73	74, 82, 93
2021-02-08	3	3	70, 81, 82	65, 70, 84
2021-02-09	6	2	53, 66, 68, 73, 81, 82	41, 64
2021-02-10	4	2	48, 63, 70, 95	64, 80
2021-02-11	5	0	79, 66, 67, 69, 71
2021-02-12	4	1	69, 57, 64, 73	75
2021-02-13	2	7	70, 82	39, 56, 58, 72, 74, 80, 97
2021-02-14;3;3;55, 67, 85;49, 79, 82
2021-02-15;4;3;63, 81, 88, 68;53, 68, 90
2021-02-16;4;3;58, 60, 73, 85;60, 70, 75
2021-02-17;3;4;64, 66, 79;65, 70, 76, 81
2021-02-18;5;4;56, 58, 65, 69, 75;31, 69, 91, 91
2021-02-19;1;4;55;65, 66, 71, 72
2021-02-20;6;2;58, 59, 63, 70, 75, 67;70, 80
2021-02-21;3;3;68, 81, 90;64, 67, 69
2021-02-22	5	3	47, 55, 59,71, 80	70, 75,76
2021-02-23;2;4;63, 68;58, 61, 67, 69
2021-02-24	5	4	53, 58, 63, 64, 68	62, 63, 72, 74
2021-02-25;5;3;47, 69, 83, 88, '2';63, 74, 75
2021-02-26;6;1;64, 66, 68, 69, 77, 78;91
2021-02-27;3;6;59, 66, 71;62, 63, 69, 78, 80, 85
2021-02-28;4;2;56, 62, 69, 78;51, 52
2021-03-01;3;5;55, 86, 87;45, 68, 76, 83, 89
2021-03-01;3;5;55, 86, 87;45, 68, 76, 83, 89
2021-03-02;3;5;44, 79, '2';60, 67, 72, 74, 86
2021-03-03;3;6;65, 68, 83;63, 64, 67, 82, 83, 88
2021-03-04;3;3;69, 73, 79;61, 63, 74
2021-03-05;3;5;23, 77, 83;53, 58, 60, 75, 82
2021-03-06;4;3;44, 62, 77, 82;50, 62, 79
2021-03-07;4;3;60, 70, 71, 81;50, 63, 68
2021-03-08;3;3;53, 79, 81;68, 80, 82
2021-03-09;4;4;72, 80, 80, 83;62, 69, 73, 78
2021-03-10;4;3;79, 83, 86, '2';50, 72, 79
2021-03-11;3;3;49, 57, 64;53, 66, 89
2021-03-12;4;1;50, 64, 72, 73;64
2021-03-13;2;1;43, 84;60
2021-03-14;3;3;55, 63, 81;74, 82, 83
2021-03-15;3;2;54, 72, 75;80, 83
2021-03-16;4;2;40, 73, 77, 79;68, 89
2021-03-17;3;2;68, 80, 83;65, 86
2021-03-18;3;3;59, 66, 83;53, 63, 66
2021-03-19;5;0;54, 70, 74, 74, 83;
2021-03-19;5;0;54, 70, 74, 74, 83;
2021-03-20;3;3;51, 60, 72;66, 81, 88
2021-03-21;3;2;66, 68, 85;63, 68
2021-03-22;3;2;56, 70, 75;66, 83
2021-03-23;5;1;76, 79, 80, 88, 95;59
2021-03-24;1;3;83;64, 70, 84
2021-03-25;2;4;64, 82;46, 59, 63, 74
2021-03-26;5;2;56, 59, 64, 75, 92;71, 74
2021-03-27;3;2;54, 69, 80;81, 96
2021-03-28;3;2;45, 66, 71;66, 82
2021-03-29;3;3;67, 70, 79;61, 67, 92
2021-03-30;5;0;65, 69, 70, 77, 90;
2021-03-31;3;3;53, 67, 69;73, 76, 82
2021-04-01;2;3;63, 88;72, 75, 77
2021-04-02;4;2;58, 67, 78, 80;56, 80
2021-04-03;3;2;58, 66, 86;61, 69
2021-04-04;0;0;;
2021-04-05;1;5;78;66, 69, 81, 83, 86
2021-04-06;2;4;74, 83;73, 82, 83, 85
2021-04-07;1;3;42;59, 81, 85
2021-04-08;1;4;68;74, 85, 88, 89
2021-04-09;2;2;73, 80;64, 79
2021-04-10;3;2;68, 91, 92;64, 65
2021-04-11;3;1;82, 74, 74;53
2021-04-12;1;3;81;76, 82, 86
2021-04-13;2;2;74, 87;77, 84
2021-04-15;2;2;78, 84;68, 78
2021-04-16;3;2;67, 75, 77;59, 65
2021-04-17;3;1;61, 62, 73;62
2021-04-18;3;0;43, 62, 72;
2021-04-19;3;1;73, 75, 86;85
2021-04-19;3;1;73, 75, 86;85
2021-04-20;1;2;64;61, 69
2021-04-21;2;2;59, 87;78, 79
2021-04-22;3;1;70, 78, 87;73
2021-04-23;2;2;61, 68;51, 85
2021-04-24;2;2;69, 75;83, 89
2021-04-25;2;1;74, 87;63
2021-04-26;2;1;68, 86;65
2021-04-27;4;0;60, 61, 64, 89;
2021-04-28;2;2;47, 54;64, 85
2021-04-29;2;2;56, 74;70, 76
2021-04-30;2;1;64, 59;76
2021-05-01;1;1;38;72
2021-05-02;2;0;72, 73;
2021-05-03;2;2;64, 73;81, 83
