date,new_deaths
2022-02-26,6
2022-02-27,7
2022-02-28,9
2022-03-01,5
2022-03-02,4
2022-03-03,5
2022-03-04,4
2022-03-05,4
2022-03-06,1
2022-03-07,8
2022-03-08,5
2022-03-09,5
2022-03-10,6
2022-03-11,6
2022-03-12,4
2022-03-13,5
2022-03-14,3
2022-03-15,6
2022-03-16,4
2022-03-17,6
2022-03-18,2
2022-03-19,3
2022-03-20,4
2022-03-21,6
2022-03-22,5
2022-03-23,0
2022-03-24,1
2022-03-25,1
2022-03-26,3
2022-03-27,2
2022-03-28,2
2022-03-29,1
2022-03-30,2
2022-03-31,0
2022-04-01,0
2022-04-02,0
2022-04-03,2
2022-04-04,3
2022-04-05,0
2022-04-06,2
2022-04-07,0
2022-04-08,1
2022-04-09,2
2022-04-10,3
2022-04-11,5
2022-04-12,2
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,1
2022-04-17,0
2022-04-18,0
2022-04-19,2
2022-04-20,0
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,1
2022-04-27,1
2022-04-28,0
2022-04-29,0
2022-04-30,1
2022-05-01,2
2022-05-02,1
2022-05-03,1
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-07,0
2022-05-08,1
2022-05-09,0
2022-05-10,1
2022-05-11,1
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,1
2022-05-19,2
2022-05-20,0
2022-05-21,0
2022-05-22,2
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,1
2022-05-27,0
2022-05-28,0
2022-05-29,1
